date,aportes_energia_gwh,precio_bolsa_kwh,precio_escasez_kwh,reservas_pct,gen_total_kwh,gen_hidro,gen_termica,gen_solar,gen_eolica,ratio_hidro,demanda_kwh,demanda_max,demanda_min,demanda_promedio,demanda_pico
2023-02-01,108792500.0,771.11,1122.5,0.64,227762191,168923769,55595956,2661892,580574,74.17,8971529,10174501,7207945,8971529,9888791
2023-02-02,115285000.0,732.44,1122.5,0.64,226701934,162273638,61069500,2591876,766919,71.58,8943824,10272107,7145866,8943824,9944709
2023-02-03,103379000.0,796.62,1122.5,0.63,228792944,158638445,66899569,2515899,739031,69.34,9049609,10287723,7242398,9049609,9995476
2023-02-04,111097600.0,802.83,1122.5,0.64,219516580,148921736,67462081,2323627,809136,67.84,8661134,9776817,7367033,8661134,9465985
2023-02-05,97617000.0,756.96,1122.5,0.65,198845240,136903683,59259119,2217297,465141,68.85,7823496,9167826,6642865,7823496,8948873
2023-02-06,96513700.0,601.13,1122.5,0.63,227803336,171072094,53658021,2223388,849832,75.1,9019100,10421068,7050030,9019100,10122838
2023-02-07,105952100.0,699.93,1122.5,0.61,226979799,169143210,54607442,2348476,880671,74.52,9100906,10395699,7349117,9100906,10079908
2023-02-08,98372700.0,637.67,1122.5,0.61,231071025,167481247,60150524,2655091,784163,72.48,9152480,10416916,7384443,9152480,10103939
2023-02-09,103082400.0,574.69,1122.5,0.6,233257864,172124732,57929156,2395043,808933,73.79,9240225,10505552,7483269,9240225,10207693
2023-02-10,102633300.0,559.76,1122.5,0.59,226638074,181163999,42091663,2550816,831596,79.94,9240359,10490249,7445139,9240359,10166360
2023-02-11,119329200.0,619.85,1122.5,0.6,215748863,170603087,41882262,2361687,901828,79.07,8912382,10030317,7529356,8912382,9739115
2023-02-12,110952900.0,581.17,1122.5,0.61,196242728,156184417,37055685,2377542,625084,79.59,8135089,9462496,6978056,8135089,9215669
2023-02-13,134761200.0,577.93,1122.5,0.61,219177749,170882035,45495741,2309931,490042,77.97,9069099,10423975,7169917,9069099,10110499
2023-02-14,117576700.0,565.21,1122.5,0.61,224896029,173775024,48561072,1964976,594958,77.27,9206207,10541903,7416494,9206207,10188152
2023-02-15,166305400.0,548.72,1122.5,0.63,229679805,178465425,48297788,2263035,653557,77.7,9250340,10499423,7528839,9250340,10172694
2023-02-16,138034400.0,518.64,1122.5,0.62,227324279,176042284,48706791,2100260,474943,77.44,9193929,10447854,7490087,9193929,10113992
2023-02-17,135484500.0,505.75,1122.5,0.61,229844955,181545287,45190012,2690106,419550,78.99,9158721,10293430,7441689,9158721,10013100
2023-02-18,145143700.0,431.77,1122.5,0.6,219351351,179680561,36477693,2525667,667429,81.91,8684680,9767564,7382136,8684680,9437572
2023-02-19,141297500.0,421.5,1122.5,0.62,191413882,149161398,39163259,2394366,694859,77.93,7781927,9071407,6583034,7781927,8833083
2023-02-20,150183400.0,418.23,1122.5,0.63,221233843,180267127,37655501,2557584,753631,81.48,8832393,10200118,6920734,8832393,9883425
2023-02-21,141937000.0,426.11,1122.5,0.63,221837966,181230337,37493568,2395730,718331,81.69,8922533,10188756,7250410,8922533,9871073
2023-02-22,154747700.0,361.9,1122.5,0.63,225816809,189026482,33673206,2298551,818569,83.71,8957197,10215167,7283552,8957197,9882690
2023-02-23,128006900.0,380.73,1122.5,0.61,224836487,185818291,35638184,2509081,870931,82.65,9054584,10426285,7230408,9054584,10087634
2023-02-24,117405900.0,340.61,1122.5,0.6,229664414,188653414,37346880,2811804,852315,82.14,9125397,10380171,7356187,9125397,10058053
2023-02-25,103100900.0,301.73,1122.5,0.59,214837180,178312455,33043673,2678097,802955,83.0,8752785,9852408,7421567,8752785,9554226
2023-02-26,98688800.0,317.3,1122.5,0.58,202270925,163650914,35239631,2620830,759551,80.91,7959699,9323156,6748864,7959699,9061263
2023-02-27,104303500.0,320.93,1122.5,0.57,229389385,190486839,35835332,2356410,710805,83.04,9079860,10490519,7078639,9079860,10174898
2023-02-28,128150100.0,373.94,1122.5,0.56,228009524,185674953,39132891,2312963,888718,81.43,9250365,10548198,7475650,9250365,10233390
2023-03-01,120339800.0,382.18,1191.65,0.56,228000942,182307656,42905041,1952723,835522,79.96,9223865,10526977,7438411,9223865,10221222
2023-03-02,117196200.0,418.25,1191.65,0.54,228922800,181635969,44616860,1798837,871135,79.34,9309848,10583837,7528401,9309848,10284817
2023-03-03,112028300.0,441.49,1191.65,0.54,225691913,179741000,43117088,1918888,914937,79.64,9371220,10522386,7632067,9371220,10233370
2023-03-04,164866200.0,449.93,1191.65,0.54,219254423,172043182,44134773,2174713,901755,78.47,8969213,10048694,7648432,8969213,9757710
2023-03-05,229283700.0,467.39,1191.65,0.55,196136041,156164066,36945183,2148218,878574,79.62,8006004,9232697,6867861,8006004,9041216
2023-03-06,225796400.0,504.92,1191.65,0.55,218998348,177481318,38492294,2216539,808196,81.04,9078149,10436187,7144285,9078149,10133872
2023-03-07,175819800.0,489.64,1191.65,0.56,220100553,173387750,43678399,2314764,719641,78.78,9123796,10318096,7436761,9123796,10023024
2023-03-08,217683400.0,477.35,1191.65,0.56,218350359,173537873,42130706,2148505,533276,79.48,9050871,10267444,7356895,9050871,9954043
2023-03-09,300383400.0,432.23,1191.65,0.56,214788232,172396946,40644540,1293799,452948,80.26,8902406,10134399,7323648,8902406,9792053
2023-03-10,229825800.0,329.69,1191.65,0.55,215611122,182603716,29890857,2573361,543188,84.69,8940795,10200526,7214978,8940795,9885471
2023-03-11,419131800.0,311.16,1191.65,0.57,201830516,174389156,25599767,1258777,582817,86.4,8553639,9597975,7296436,8553639,9314855
2023-03-12,394117800.0,294.77,1191.65,0.59,185506507,159953613,23177242,1950839,424812,86.23,7798489,9146541,6564452,7798489,8918009
2023-03-13,429220500.0,237.29,1191.65,0.6,212648961,190023699,20434153,1638460,552648,89.36,8819799,10203977,6952216,8819799,9880917
2023-03-14,356622900.0,191.62,1191.65,0.59,214131309,192120005,19353816,2039796,617692,89.72,8966598,10189374,7254825,8966598,9861564
2023-03-15,338865500.0,165.93,1191.65,0.58,213722872,191228093,19921995,2092803,479981,89.47,8920774,10222184,7218889,8920774,9922873
2023-03-16,343215300.0,172.99,1191.65,0.58,214780635,185920946,26236963,2128418,494308,86.56,8964466,10168912,7221812,8964466,9876110
2023-03-17,316313500.0,226.72,1191.65,0.58,214862821,182857164,29004815,2322672,678170,85.1,9016521,10268962,7225754,9016521,9985602
2023-03-18,293717600.0,207.66,1191.65,0.58,209472872,182632162,23812993,2293089,734628,87.19,8715629,9820688,7431203,8715629,9508233
2023-03-19,298759400.0,165.33,1191.65,0.57,189481677,164280319,21927557,2569351,704450,86.7,7856362,9060057,6659204,7856362,8829545
2023-03-20,253965400.0,242.01,1191.65,0.57,194383207,171290941,19712862,2661002,718403,88.12,8144907,9665674,6819030,8144907,9395375
2023-03-21,220874500.0,305.95,1191.65,0.57,220959723,193208108,23874317,2992522,884776,87.44,9157033,10528034,7231033,9157033,10219760
2023-03-22,210584100.0,349.53,1191.65,0.57,222196649,190202263,28107289,3075672,811426,85.6,9207216,10522558,7455724,9207216,10223315
2023-03-23,222494200.0,332.44,1191.65,0.57,222263862,188134374,30680299,2664277,784912,84.64,9222741,10521852,7501174,9222741,10205273
2023-03-24,234994400.0,333.4,1191.65,0.58,224376914,188714328,32602249,2442028,618309,84.11,9305516,10495956,7531845,9305516,10188978
2023-03-25,264039800.0,241.35,1191.65,0.58,214251436,181595492,29454709,2404009,797226,84.76,8890856,10027264,7561135,8890856,9739096
2023-03-26,251057200.0,189.76,1191.65,0.58,194871104,167508915,24337234,2258656,766299,85.96,8112029,9383554,6888813,8112029,9165579
