date,aportes_energia_gwh,precio_bolsa_kwh,precio_escasez_kwh,reservas_pct,gen_total_kwh,gen_hidro,gen_termica,gen_solar,gen_eolica,ratio_hidro,demanda_kwh,demanda_max,demanda_min,demanda_promedio,demanda_pico,log_precio_bolsa,estres_hidrico,presion_termica,efecto_solar_demanda,termica_evitada,gen_renovable
2023-02-01,108792500.0,771.11,1122.5,0.64,227762191,168923769,55595956,2661892,580574,74.17,8971529,10174501,7207945,8971529,9888791,6.647831035241403,85532240.0,0.5110274650272081,2680846,0.047879236974012335,172166235
2023-02-02,115285000.0,732.44,1122.5,0.64,226701934,162273638,61069500,2591876,766919,71.58,8943824,10272107,7145866,8943824,9944709,6.596381426273513,93953076.92307691,0.529726325803649,2798843,0.04244141441404606,165632433
2023-02-03,103379000.0,796.62,1122.5,0.63,228792944,158638445,66899569,2515899,739031,69.34,9049609,10287723,7242398,9049609,9995476,6.680377777135866,104530576.5625,0.6471291882574877,2753078,0.03760710270634027,161893375
2023-02-04,111097600.0,802.83,1122.5,0.64,219516580,148921736,67462081,2323627,809136,67.84,8661134,9776817,7367033,8661134,9465985,6.688142985431744,103787816.92307691,0.6072325630145695,2098952,0.03444345224922053,152054499
2023-02-05,97617000.0,756.96,1122.5,0.65,198845240,136903683,59259119,2217297,465141,68.85,7823496,9167826,6642865,7823496,8948873,6.629310411882838,89786543.93939394,0.6070573608382007,2306008,0.03741697480489079,139586121
2023-02-06,96513700.0,601.13,1122.5,0.63,227803336,171072094,53658021,2223388,849832,75.1,9019100,10421068,7050030,9019100,10122838,6.39881121730081,83840657.8125,0.5559627332082105,3072808,0.04143626464650523,174145314
2023-02-07,105952100.0,699.93,1122.5,0.61,226979799,169143210,54607442,2348476,880671,74.52,9100906,10395699,7349117,9100906,10079908,6.550980330043071,88076519.35483871,0.5153974436052005,2730791,0.04300651836050994,172372357
2023-02-08,98372700.0,637.67,1122.5,0.61,231071025,167481247,60150524,2655091,784163,72.48,9152480,10416916,7384443,9152480,10103939,6.457820908150012,97016974.19354838,0.6114554483972133,2719496,0.044140778488633306,170920501
2023-02-09,103082400.0,574.69,1122.5,0.6,233257864,172124732,57929156,2395043,808933,73.79,9240225,10505552,7483269,9240225,10207693,6.353830764979499,94965829.50819673,0.5619694093078023,2724424,0.04134434409256119,175328708
2023-02-10,102633300.0,559.76,1122.5,0.59,226638074,181163999,42091663,2550816,831596,79.94,9240359,10490249,7445139,9240359,10166360,6.327508120437641,70152771.66666667,0.4101170145545645,2721221,0.06060145305730845,184546411
