date,value
"2023-02-01",108792500
"2023-02-02",115285000
"2023-02-03",103379000
"2023-02-04",111097600
"2023-02-05",97617000
"2023-02-06",96513700
"2023-02-07",105952100
"2023-02-08",98372700
"2023-02-09",103082400
"2023-02-10",102633300
"2023-02-11",119329200
"2023-02-12",110952900
"2023-02-13",134761200
"2023-02-14",117576700
"2023-02-15",166305400
"2023-02-16",138034400
"2023-02-17",135484500
"2023-02-18",145143700
"2023-02-19",141297500
"2023-02-20",150183400
"2023-02-21",141937000
"2023-02-22",154747700
"2023-02-23",128006900
"2023-02-24",117405900
"2023-02-25",103100900
"2023-02-26",98688800
"2023-02-27",104303500
"2023-02-28",128150100
"2023-03-01",120339800
"2023-03-02",117196200
"2023-03-03",112028300
"2023-03-04",164866200
"2023-03-05",229283700
"2023-03-06",225796400
"2023-03-07",175819800
"2023-03-08",217683400
"2023-03-09",300383400
"2023-03-10",229825800
"2023-03-11",419131800
"2023-03-12",394117800
"2023-03-13",429220500
"2023-03-14",356622900
"2023-03-15",338865500
"2023-03-16",343215300
"2023-03-17",316313500
"2023-03-18",293717600
"2023-03-19",298759400
"2023-03-20",253965400
"2023-03-21",220874500
"2023-03-22",210584100
"2023-03-23",222494200
"2023-03-24",234994400
"2023-03-25",264039800
"2023-03-26",251057200
"2023-03-27",226837300
"2023-03-28",234914600
"2023-03-29",232014500
"2023-03-30",211036700
"2023-03-31",241632000
"2023-04-01",218497300
"2023-04-02",282921700
"2023-04-03",228398800
"2023-04-04",199095700
"2023-04-05",277738300
"2023-04-06",211064100
"2023-04-07",236831100
"2023-04-08",243732500
"2023-04-09",214651500
"2023-04-10",192918300
"2023-04-11",196731300
"2023-04-12",204237600
"2023-04-13",185117100
"2023-04-14",173621900
"2023-04-15",167753800
"2023-04-16",224020100
"2023-04-17",306831500
"2023-04-18",328312200
"2023-04-19",237016700
"2023-04-20",224194100
"2023-04-21",247698000
"2023-04-22",270054200
"2023-04-23",255046800
"2023-04-24",263848600
"2023-04-25",251881100
"2023-04-26",297054500
"2023-04-27",250168900
"2023-04-28",383768500
"2023-04-29",317061100
"2023-04-30",316593200
"2023-05-01",230344500
"2023-05-02",201608200
"2023-05-03",168209600
"2023-05-04",155560000
"2023-05-05",143810200
"2023-05-06",146703300
"2023-05-07",139726000
"2023-05-08",129208100
"2023-05-09",137786200
"2023-05-10",156708700
"2023-05-11",149898000
"2023-05-12",147524000
"2023-05-13",145952400
"2023-05-14",153538600
"2023-05-15",164297200
"2023-05-16",165785300
"2023-05-17",224612900
"2023-05-18",149064500
"2023-05-19",160097400
"2023-05-20",191365000
"2023-05-21",187854700
"2023-05-22",209950600
"2023-05-23",328961900
"2023-05-24",306842900
"2023-05-25",358444000
"2023-05-26",419452900
"2023-05-27",313276100
"2023-05-28",394653600
"2023-05-29",359710700
"2023-05-30",387905100
"2023-05-31",279574800
"2023-06-01",417034200
"2023-06-02",313209700
"2023-06-03",228785300
"2023-06-04",203802600
"2023-06-05",327713700
"2023-06-06",306826000
"2023-06-07",241265200
"2023-06-08",304688300
"2023-06-09",275109700
"2023-06-10",225022800
"2023-06-11",281782100
"2023-06-12",197539200
"2023-06-13",171370900
"2023-06-14",197799200
"2023-06-15",232197800
"2023-06-16",254465800
"2023-06-17",236781300
"2023-06-18",220171200
"2023-06-19",181099900
"2023-06-20",157685400
"2023-06-21",179288600
"2023-06-22",182335400
"2023-06-23",196344600
"2023-06-24",217898000
"2023-06-25",251988600
"2023-06-26",301293200
"2023-06-27",202860100
"2023-06-28",184710600
"2023-06-29",187026700
"2023-06-30",185646100
"2023-07-01",171982500
"2023-07-02",252214200
"2023-07-03",198082000
"2023-07-04",220246100
"2023-07-05",188575400
"2023-07-06",229441300
"2023-07-07",285696000
"2023-07-08",268017500
"2023-07-09",218068100
"2023-07-10",261648700
"2023-07-11",208309800
"2023-07-12",198531700
"2023-07-13",174811300
"2023-07-14",316972300
"2023-07-15",247899100
"2023-07-16",293437400
"2023-07-17",416736400
"2023-07-18",347191500
"2023-07-19",326654000
"2023-07-20",238712600
"2023-07-21",285810600
"2023-07-22",249850000
"2023-07-23",197991200
"2023-07-24",228213700
"2023-07-25",181204100
"2023-07-26",172060100
"2023-07-27",177671000
"2023-07-28",168166000
"2023-07-29",158391500
"2023-07-30",190950300
"2023-07-31",182671600
"2023-08-01",227473900
"2023-08-02",212559000
"2023-08-03",175503100
"2023-08-04",163961300
"2023-08-05",207083100
"2023-08-06",164105400
"2023-08-07",212050400
"2023-08-08",180413300
"2023-08-09",238061200
"2023-08-10",163909800
"2023-08-11",184950300
"2023-08-12",186975200
"2023-08-13",218014500
"2023-08-14",158954900
"2023-08-15",213896200
"2023-08-16",173689500
"2023-08-17",162023300
"2023-08-18",175300000
"2023-08-19",140105200
"2023-08-20",187976500
"2023-08-21",206192300
"2023-08-22",375386800
"2023-08-23",234825500
"2023-08-24",171939900
"2023-08-25",185529000
"2023-08-26",169558400
"2023-08-27",136816800
"2023-08-28",123925200
"2023-08-29",138709800
"2023-08-30",115233600
"2023-08-31",104909500
"2023-09-01",100726100
"2023-09-02",109175200
"2023-09-03",113959300
"2023-09-04",147524400
"2023-09-05",116252700
"2023-09-06",102923700
"2023-09-07",102282100
"2023-09-08",93512900
"2023-09-09",99672600
"2023-09-10",144484500
"2023-09-11",257835200
"2023-09-12",184491700
"2023-09-13",145306400
"2023-09-14",154476700
"2023-09-15",131802100
"2023-09-16",106285100
"2023-09-17",139260300
"2023-09-18",111024900
"2023-09-19",98885900
"2023-09-20",91061000
"2023-09-21",92349700
"2023-09-22",89218000
"2023-09-23",110422100
"2023-09-24",106884600
"2023-09-25",121821100
"2023-09-26",109394600
"2023-09-27",90163500
"2023-09-28",97944800
"2023-09-29",94631900
"2023-09-30",95552600
"2023-10-01",133645500
"2023-10-02",108228100
"2023-10-03",111560700
"2023-10-04",141244500
"2023-10-05",138341300
"2023-10-06",145582800
"2023-10-07",167576800
"2023-10-08",192754100
"2023-10-09",132377900
"2023-10-10",151323900
"2023-10-11",152375300
"2023-10-12",123860000
"2023-10-13",130289000
"2023-10-14",136957300
"2023-10-15",122624600
"2023-10-16",121221100
"2023-10-17",117327000
"2023-10-18",114567000
"2023-10-19",110499700
"2023-10-20",107624900
"2023-10-21",107681700
"2023-10-22",109987000
"2023-10-23",142724300
"2023-10-24",177018000
"2023-10-25",151789800
"2023-10-26",198510400
"2023-10-27",213546700
"2023-10-28",192318900
"2023-10-29",200642600
"2023-10-30",224467900
"2023-10-31",255567100
"2023-11-01",277557900
"2023-11-02",308069100
"2023-11-03",320878000
"2023-11-04",335305300
"2023-11-05",258984000
"2023-11-06",254521400
"2023-11-07",254784000
"2023-11-08",194584200
"2023-11-09",180180200
"2023-11-10",180031000
"2023-11-11",173460600
"2023-11-12",200091400
"2023-11-13",157722700
"2023-11-14",171323400
"2023-11-15",236243400
"2023-11-16",169218000
"2023-11-17",190111200
"2023-11-18",255460600
"2023-11-19",224764800
"2023-11-20",230662300
"2023-11-21",201619800
"2023-11-22",179661500
"2023-11-23",157437700
"2023-11-24",161893600
"2023-11-25",195573100
"2023-11-26",152716400
"2023-11-27",137498000
"2023-11-28",141733800
"2023-11-29",123904500
"2023-11-30",123471900
"2023-12-01",108539500
"2023-12-02",103783800
"2023-12-03",99216000
"2023-12-04",94405700
"2023-12-05",92867600
"2023-12-06",100058900
"2023-12-07",99459500
"2023-12-08",97799900
"2023-12-09",93255400
"2023-12-10",120248400
"2023-12-11",97586700
"2023-12-12",102419800
"2023-12-13",87087200
"2023-12-14",87007600
"2023-12-15",104304100
"2023-12-16",125186600
"2023-12-17",165335300
"2023-12-18",137040700
"2023-12-19",128180200
"2023-12-20",129011400
"2023-12-21",129149600
"2023-12-22",118919900
"2023-12-23",114187600
"2023-12-24",112835600
"2023-12-25",111514600
"2023-12-26",134318300
"2023-12-27",134196000
"2023-12-28",170482100
"2023-12-29",159616600
"2023-12-30",143280000
"2023-12-31",143690800
"2024-01-01",113953000
"2024-01-02",107441500
"2024-01-03",104709700
"2024-01-04",96512400
"2024-01-05",94223400
"2024-01-06",92639100
"2024-01-07",84182700
"2024-01-08",79861500
"2024-01-09",77384900
"2024-01-10",80260100
"2024-01-11",79514700
"2024-01-12",84508800
"2024-01-13",81670600
"2024-01-14",75244100
"2024-01-15",72823700
"2024-01-16",71431100
"2024-01-17",69539200
"2024-01-18",65297000
"2024-01-19",65100300
"2024-01-20",63234700
"2024-01-21",64067100
"2024-01-22",65290200
"2024-01-23",63370900
"2024-01-24",59400500
"2024-01-25",57323400
"2024-01-26",57789800
"2024-01-27",61824600
"2024-01-28",58352500
"2024-01-29",55824700
"2024-01-30",56651300
"2024-01-31",63838600
"2024-02-01",73514800
"2024-02-02",78787200
"2024-02-03",117509800
"2024-02-04",119721800
"2024-02-05",122669400
"2024-02-06",128870700
"2024-02-07",114225000
"2024-02-08",96330500
"2024-02-09",91603500
"2024-02-10",96342400
"2024-02-11",82639600
"2024-02-12",77355200
"2024-02-13",68233400
"2024-02-14",75611500
"2024-02-15",67637200
"2024-02-16",73235800
"2024-02-17",71230200
"2024-02-18",72107300
"2024-02-19",61707200
"2024-02-20",63676500
"2024-02-21",65225100
"2024-02-22",70220400
"2024-02-23",67668200
"2024-02-24",59359400
"2024-02-25",63111300
"2024-02-26",63744900
"2024-02-27",62663900
"2024-02-28",60294700
"2024-02-29",60417100
"2024-03-01",61720800
"2024-03-02",63020800
"2024-03-03",64725800
"2024-03-04",73105800
"2024-03-05",70430900
"2024-03-06",67121900
"2024-03-07",60933600
"2024-03-08",69237000
"2024-03-09",80522600
"2024-03-10",67767600
"2024-03-11",92765000
"2024-03-12",83443800
"2024-03-13",63794900
"2024-03-14",88123400
"2024-03-15",66347900
"2024-03-16",60062200
"2024-03-17",66897500
"2024-03-18",61367800
"2024-03-19",75342800
"2024-03-20",68679500
"2024-03-21",77489500
"2024-03-22",77256700
"2024-03-23",63960200
"2024-03-24",56055600
"2024-03-25",70352000
"2024-03-26",77876900
"2024-03-27",72693500
"2024-03-28",65809800
"2024-03-29",67556600
"2024-03-30",66343100
"2024-03-31",77779900
"2024-04-01",92990100
"2024-04-02",139612300
"2024-04-03",123729300
"2024-04-04",169249900
"2024-04-05",148355900
"2024-04-06",138336700
"2024-04-07",103202300
"2024-04-08",96362500
"2024-04-09",91784300
"2024-04-10",78443900
