date,value,demanda_total,demanda_max,demanda_min,demanda_promedio,demanda_pico
"2023-01-01",6937873,166508956,7974751,6034468,6937873,7828563
"2023-01-02",7948385,190761237,9296814,6380821,7948385,9089770
"2023-01-03",8346330,200311913,9591157,6875071,8346330,9348402
"2023-01-04",8521682,204520371,9771903,7001206,8521682,9512244
"2023-01-05",8576018,205824426,9855951,7029887,8576018,9614107
"2023-01-06",8679328,208303861,9854847,7165322,8679328,9623000
"2023-01-07",8326758,199842183,9373262,7211814,8326758,9107514
"2023-01-08",7554466,181307183,8662391,6562850,7554466,8488855
"2023-01-09",7741828,185803866,9023586,6626546,7741828,8795975
"2023-01-10",8517653,204423664,9857352,6822468,8517653,9569981
"2023-01-11",8738479,209723504,9928039,7116298,8738479,9663776
"2023-01-12",8757222,210173325,10007268,7038416,8757222,9746830
"2023-01-13",8958470,215003273,10108320,7221516,8958470,9872213
"2023-01-14",8582216,205973181,9700072,7282464,8582216,9427884
"2023-01-15",7791048,186985148,9039754,6602461,7791048,8840659
"2023-01-16",8758180,210196315,10087158,6926989,8758180,9799975
"2023-01-17",8922946,214150715,10134443,7032255,8922946,9853881
"2023-01-18",8905074,213721771,10064614,7227424,8905074,9803523
"2023-01-19",8962245,215093880,10241086,7176669,8962245,9943572
"2023-01-20",8958648,215007550,10141962,7262843,8958648,9862988
"2023-01-21",8562557,205501371,9773552,7231014,8562557,9483565
"2023-01-22",7831896,187965510,9137476,6635734,7831896,8932424
"2023-01-23",8911089,213866138,10262553,6973705,8911089,9984175
"2023-01-24",9092353,218216462,10353429,7348119,9092353,10070179
"2023-01-25",9168921,220054112,10444450,7391363,9168921,10155029
"2023-01-26",9162880,219909121,10404114,7431644,9162880,10113919
"2023-01-27",9100717,218417213,10274607,7350521,9100717,9986154
"2023-01-28",8658939,207814547,9823469,7369143,8658939,9495884
"2023-01-29",7817192,187612616,9102733,6603706,7817192,8891990
"2023-01-30",8892646,213423498,10254896,6928495,8892646,9951256
"2023-01-31",8997992,215951804,10259401,7266923,8997992,9949899
"2023-02-01",8971529,215316692,10174501,7207945,8971529,9888791
"2023-02-02",8943824,214651784,10272107,7145866,8943824,9944709
"2023-02-03",9049609,217190608,10287723,7242398,9049609,9995476
"2023-02-04",8661134,207867216,9776817,7367033,8661134,9465985
"2023-02-05",7823496,187763905,9167826,6642865,7823496,8948873
"2023-02-06",9019100,216458412,10421068,7050030,9019100,10122838
"2023-02-07",9100906,218421741,10395699,7349117,9100906,10079908
"2023-02-08",9152480,219659525,10416916,7384443,9152480,10103939
"2023-02-09",9240225,221765408,10505552,7483269,9240225,10207693
"2023-02-10",9240359,221768619,10490249,7445139,9240359,10166360
"2023-02-11",8912382,213897168,10030317,7529356,8912382,9739115
"2023-02-12",8135089,195242133,9462496,6978056,8135089,9215669
"2023-02-13",9069099,217658376,10423975,7169917,9069099,10110499
"2023-02-14",9206207,220948976,10541903,7416494,9206207,10188152
"2023-02-15",9250340,222008156,10499423,7528839,9250340,10172694
"2023-02-16",9193929,220654307,10447854,7490087,9193929,10113992
"2023-02-17",9158721,219809315,10293430,7441689,9158721,10013100
"2023-02-18",8684680,208432325,9767564,7382136,8684680,9437572
"2023-02-19",7781927,186766252,9071407,6583034,7781927,8833083
"2023-02-20",8832393,211977431,10200118,6920734,8832393,9883425
"2023-02-21",8922533,214140785,10188756,7250410,8922533,9871073
"2023-02-22",8957197,214972723,10215167,7283552,8957197,9882690
"2023-02-23",9054584,217310005,10426285,7230408,9054584,10087634
"2023-02-24",9125397,219009529,10380171,7356187,9125397,10058053
"2023-02-25",8752785,210066844,9852408,7421567,8752785,9554226
"2023-02-26",7959699,191032781,9323156,6748864,7959699,9061263
"2023-02-27",9079860,217916650,10490519,7078639,9079860,10174898
"2023-02-28",9250365,222008750,10548198,7475650,9250365,10233390
"2023-03-01",9223865,221372769,10526977,7438411,9223865,10221222
"2023-03-02",9309848,223436362,10583837,7528401,9309848,10284817
"2023-03-03",9371220,224909285,10522386,7632067,9371220,10233370
"2023-03-04",8969213,215261122,10048694,7648432,8969213,9757710
"2023-03-05",8006004,192144088,9232697,6867861,8006004,9041216
"2023-03-06",9078149,217875574,10436187,7144285,9078149,10133872
"2023-03-07",9123796,218971112,10318096,7436761,9123796,10023024
"2023-03-08",9050871,217220909,10267444,7356895,9050871,9954043
"2023-03-09",8902406,213657745,10134399,7323648,8902406,9792053
"2023-03-10",8940795,214579069,10200526,7214978,8940795,9885471
"2023-03-11",8553639,205287333,9597975,7296436,8553639,9314855
"2023-03-12",7798489,187163740,9146541,6564452,7798489,8918009
"2023-03-13",8819799,211675185,10203977,6952216,8819799,9880917
"2023-03-14",8966598,215198342,10189374,7254825,8966598,9861564
"2023-03-15",8920774,214098568,10222184,7218889,8920774,9922873
"2023-03-16",8964466,215147192,10168912,7221812,8964466,9876110
"2023-03-17",9016521,216396507,10268962,7225754,9016521,9985602
"2023-03-18",8715629,209175084,9820688,7431203,8715629,9508233
"2023-03-19",7856362,188552682,9060057,6659204,7856362,8829545
"2023-03-20",8144907,195477763,9665674,6819030,8144907,9395375
"2023-03-21",9157033,219768790,10528034,7231033,9157033,10219760
"2023-03-22",9207216,220973185,10522558,7455724,9207216,10223315
"2023-03-23",9222741,221345776,10521852,7501174,9222741,10205273
"2023-03-24",9305516,223332385,10495956,7531845,9305516,10188978
"2023-03-25",8890856,213380551,10027264,7561135,8890856,9739096
"2023-03-26",8112029,194688708,9383554,6888813,8112029,9165579
"2023-03-27",9079505,217908112,10340928,7199938,9079505,10057091
"2023-03-28",9213463,221123111,10489212,7427132,9213463,10201356
"2023-03-29",9205904,220941688,10471512,7499501,9205904,10163066
"2023-03-30",9230211,221525075,10532196,7487431,9230211,10245448
"2023-03-31",9248891,221973390,10387159,7551605,9248891,10122338
"2023-04-01",8859935,212638437,9908710,7587881,8859935,9635688
"2023-04-02",8057409,193377822,9199039,6926055,8057409,9022195
"2023-04-03",9059688,217432521,10375300,7165150,9059688,10127024
"2023-04-04",9164202,219940839,10306789,7483284,9164202,10054134
"2023-04-05",9021887,216525297,10038079,7558716,9021887,9775930
"2023-04-06",7758298,186199141,8722510,6798494,7758298,8463558
"2023-04-07",7298179,175156299,8385852,6322800,7298179,8206760
"2023-04-08",7894196,189460714,9205456,6534931,7894196,8955880
"2023-04-09",7875760,189018244,9284714,6560997,7875760,9052901
"2023-04-10",9090499,218171975,10474220,7087618,9090499,10197716
"2023-04-11",9247302,221935256,10492558,7543258,9247302,10191723
"2023-04-12",9260011,222240259,10545465,7520592,9260011,10254229
"2023-04-13",9309548,223429164,10561888,7567744,9309548,10271645
"2023-04-14",9460496,227051907,10618428,7636754,9460496,10348118
"2023-04-15",9023436,216562466,10109664,7657390,9023436,9802773
"2023-04-16",7955137,190923284,9184796,6817358,7955137,8973308
"2023-04-17",8899919,213598047,10265430,6993786,8899919,9996031
"2023-04-18",9189440,220546569,10540316,7380536,9189440,10239423
"2023-04-19",9270601,222494413,10610998,7471151,9270601,10328891
"2023-04-20",9337479,224099492,10564404,7615789,9337479,10270237
"2023-04-21",9170527,220092642,10263492,7509412,9170527,10015374
"2023-04-22",8755130,210123120,9857037,7400395,8755130,9588401
"2023-04-23",7944614,190670731,9264234,6759184,7944614,9030412
"2023-04-24",8995399,215889584,10413352,7079324,8995399,10103209
"2023-04-25",9167499,220019967,10487892,7374084,9167499,10175344
"2023-04-26",9283702,222808849,10583840,7498475,9283702,10273920
"2023-04-27",9380625,225134993,10643955,7603189,9380625,10370117
"2023-04-28",9341478,224195466,10467644,7700152,9341478,10216506
