date,value,gen_total,gen_hidro,gen_termica,gen_solar,gen_eolica,ratio_hidro
"2023-01-01",176932653,176932653,128672613,45482533,2160871,616636,72.72
"2023-01-02",200370859,200370859,152364989,45477741,1986399,541731,76.04
"2023-01-03",211134449,211134449,163495189,45319399,1838158,481703,77.44
"2023-01-04",216471776,216471776,168002330,45943580,2045703,480163,77.61
"2023-01-05",217234261,217234261,165624868,48912335,2201459,495600,76.24
"2023-01-06",220458817,220458817,169589034,48272684,2003915,593185,76.93
"2023-01-07",212133192,212133192,164811497,45156495,1492833,672367,77.69
"2023-01-08",193547806,193547806,156649359,34703866,1562336,632245,80.94
"2023-01-09",198052265,198052265,156685622,38972203,1833181,561259,79.11
"2023-01-10",216201187,216201187,175153688,39203737,1359615,484147,81.01
"2023-01-11",218746966,218746966,176609620,39940486,1644747,552113,80.74
"2023-01-12",218622160,218622160,190153610,26265821,1668549,534180,86.98
"2023-01-13",225606452,225606452,199234772,23819284,2081595,470803,88.31
"2023-01-14",216119078,216119078,190080784,23564908,2103055,370331,87.95
"2023-01-15",195501857,195501857,171171603,22136583,1869259,324412,87.55
"2023-01-16",220844233,220844233,191033819,27133982,2273533,402899,86.5
"2023-01-17",225082164,225082164,200598789,21933032,2130843,419499,89.12
"2023-01-18",225073192,225073192,199482484,22867165,2056132,667411,88.63
"2023-01-19",226657813,226657813,200093470,23496300,2319949,748095,88.28
"2023-01-20",226178501,226178501,195657497,27397957,2324597,798449,86.51
"2023-01-21",213999695,213999695,185285573,25491570,2417415,805138,86.58
"2023-01-22",199337139,199337139,178517398,17756109,2269873,793759,89.56
"2023-01-23",225718207,225718207,202943446,19932179,2085259,757323,89.91
"2023-01-24",229692404,229692404,206864291,19856915,2080772,890426,90.06
"2023-01-25",229501725,229501725,203136869,23086366,2436048,842442,88.51
"2023-01-26",231010805,231010805,200027018,27593128,2510597,880063,86.59
"2023-01-27",230269429,230269429,197652954,29169345,2593937,853194,85.84
