date,value
"2023-01-01",1248.76
"2023-01-02",1248.76
"2023-01-03",1248.76
"2023-01-04",1248.76
"2023-01-05",1248.76
"2023-01-06",1248.76
"2023-01-07",1248.76
"2023-01-08",1248.76
"2023-01-09",1248.76
"2023-01-10",1248.76
"2023-01-11",1248.76
"2023-01-12",1248.76
"2023-01-13",1248.76
"2023-01-14",1248.76
"2023-01-15",1248.76
"2023-01-16",1248.76
"2023-01-17",1248.76
"2023-01-18",1248.76
"2023-01-19",1248.76
"2023-01-20",1248.76
"2023-01-21",1248.76
"2023-01-22",1248.76
"2023-01-23",1248.76
"2023-01-24",1248.76
"2023-01-25",1248.76
"2023-01-26",1248.76
"2023-01-27",1248.76
"2023-01-28",1248.76
"2023-01-29",1248.76
"2023-01-30",1248.76
"2023-01-31",1248.76
"2023-02-01",1122.5
"2023-02-02",1122.5
"2023-02-03",1122.5
"2023-02-04",1122.5
"2023-02-05",1122.5
"2023-02-06",1122.5
"2023-02-07",1122.5
"2023-02-08",1122.5
"2023-02-09",1122.5
"2023-02-10",1122.5
"2023-02-11",1122.5
"2023-02-12",1122.5
"2023-02-13",1122.5
"2023-02-14",1122.5
"2023-02-15",1122.5
"2023-02-16",1122.5
"2023-02-17",1122.5
"2023-02-18",1122.5
"2023-02-19",1122.5
"2023-02-20",1122.5
"2023-02-21",1122.5
"2023-02-22",1122.5
"2023-02-23",1122.5
"2023-02-24",1122.5
"2023-02-25",1122.5
"2023-02-26",1122.5
"2023-02-27",1122.5
"2023-02-28",1122.5
"2023-03-01",1191.65
"2023-03-02",1191.65
"2023-03-03",1191.65
"2023-03-04",1191.65
"2023-03-05",1191.65
"2023-03-06",1191.65
"2023-03-07",1191.65
"2023-03-08",1191.65
"2023-03-09",1191.65
"2023-03-10",1191.65
"2023-03-11",1191.65
"2023-03-12",1191.65
"2023-03-13",1191.65
"2023-03-14",1191.65
"2023-03-15",1191.65
"2023-03-16",1191.65
"2023-03-17",1191.65
"2023-03-18",1191.65
"2023-03-19",1191.65
"2023-03-20",1191.65
"2023-03-21",1191.65
"2023-03-22",1191.65
"2023-03-23",1191.65
"2023-03-24",1191.65
"2023-03-25",1191.65
"2023-03-26",1191.65
"2023-03-27",1191.65
"2023-03-28",1191.65
"2023-03-29",1191.65
"2023-03-30",1191.65
"2023-03-31",1191.65
"2023-04-01",1105.28
"2023-04-02",1105.28
"2023-04-03",1105.28
"2023-04-04",1105.28
"2023-04-05",1105.28
"2023-04-06",1105.28
"2023-04-07",1105.28
"2023-04-08",1105.28
"2023-04-09",1105.28
"2023-04-10",1105.28
"2023-04-11",1105.28
"2023-04-12",1105.28
"2023-04-13",1105.28
"2023-04-14",1105.28
"2023-04-15",1105.28
"2023-04-16",1105.28
"2023-04-17",1105.28
"2023-04-18",1105.28
"2023-04-19",1105.28
"2023-04-20",1105.28
"2023-04-21",1105.28
"2023-04-22",1105.28
"2023-04-23",1105.28
"2023-04-24",1105.28
"2023-04-25",1105.28
"2023-04-26",1105.28
"2023-04-27",1105.28
"2023-04-28",1105.28
"2023-04-29",1105.28
"2023-04-30",1105.28
"2023-05-01",1162.96
"2023-05-02",1162.96
"2023-05-03",1162.96
"2023-05-04",1162.96
"2023-05-05",1162.96
"2023-05-06",1162.96
"2023-05-07",1162.96
"2023-05-08",1162.96
"2023-05-09",1162.96
"2023-05-10",1162.96
"2023-05-11",1162.96
"2023-05-12",1162.96
"2023-05-13",1162.96
"2023-05-14",1162.96
"2023-05-15",1162.96
"2023-05-16",1162.96
"2023-05-17",1162.96
"2023-05-18",1162.96
"2023-05-19",1162.96
"2023-05-20",1162.96
"2023-05-21",1162.96
"2023-05-22",1162.96
"2023-05-23",1162.96
"2023-05-24",1162.96
"2023-05-25",1162.96
"2023-05-26",1162.96
"2023-05-27",1162.96
"2023-05-28",1162.96
"2023-05-29",1162.96
"2023-05-30",1162.96
"2023-05-31",1162.96
"2023-06-01",1089.63
"2023-06-02",1089.63
"2023-06-03",1089.63
"2023-06-04",1089.63
"2023-06-05",1089.63
"2023-06-06",1089.63
"2023-06-07",1089.63
"2023-06-08",1089.63
"2023-06-09",1089.63
"2023-06-10",1089.63
"2023-06-11",1089.63
"2023-06-12",1089.63
"2023-06-13",1089.63
"2023-06-14",1089.63
"2023-06-15",1089.63
"2023-06-16",1089.63
"2023-06-17",1089.63
"2023-06-18",1089.63
"2023-06-19",1089.63
"2023-06-20",1089.63
"2023-06-21",1089.63
"2023-06-22",1089.63
"2023-06-23",1089.63
"2023-06-24",1089.63
"2023-06-25",1089.63
"2023-06-26",1089.63
"2023-06-27",1089.63
"2023-06-28",1089.63
"2023-06-29",1089.63
"2023-06-30",1089.63
"2023-07-01",927.84
"2023-07-02",927.84
"2023-07-03",927.84
"2023-07-04",927.84
"2023-07-05",927.84
"2023-07-06",927.84
"2023-07-07",927.84
"2023-07-08",927.84
"2023-07-09",927.84
"2023-07-10",927.84
"2023-07-11",927.84
"2023-07-12",927.84
"2023-07-13",927.84
"2023-07-14",927.84
"2023-07-15",927.84
"2023-07-16",927.84
"2023-07-17",927.84
"2023-07-18",927.84
"2023-07-19",927.84
"2023-07-20",927.84
"2023-07-21",927.84
"2023-07-22",927.84
"2023-07-23",927.84
"2023-07-24",927.84
"2023-07-25",927.84
"2023-07-26",927.84
"2023-07-27",927.84
"2023-07-28",927.84
"2023-07-29",927.84
"2023-07-30",927.84
"2023-07-31",927.84
"2023-08-01",941.65
"2023-08-02",941.65
"2023-08-03",941.65
"2023-08-04",941.65
"2023-08-05",941.65
"2023-08-06",941.65
"2023-08-07",941.65
"2023-08-08",941.65
"2023-08-09",941.65
"2023-08-10",941.65
"2023-08-11",941.65
"2023-08-12",941.65
"2023-08-13",941.65
"2023-08-14",941.65
"2023-08-15",941.65
"2023-08-16",941.65
"2023-08-17",941.65
"2023-08-18",941.65
"2023-08-19",941.65
"2023-08-20",941.65
"2023-08-21",941.65
"2023-08-22",941.65
"2023-08-23",941.65
"2023-08-24",941.65
"2023-08-25",941.65
"2023-08-26",941.65
"2023-08-27",941.65
"2023-08-28",941.65
"2023-08-29",941.65
"2023-08-30",941.65
"2023-08-31",941.65
"2023-09-01",1034.1
"2023-09-02",1034.1
"2023-09-03",1034.1
"2023-09-04",1034.1
"2023-09-05",1034.1
"2023-09-06",1034.1
"2023-09-07",1034.1
"2023-09-08",1034.1
"2023-09-09",1034.1
"2023-09-10",1034.1
"2023-09-11",1034.1
"2023-09-12",1034.1
"2023-09-13",1034.1
"2023-09-14",1034.1
"2023-09-15",1034.1
"2023-09-16",1034.1
"2023-09-17",1034.1
"2023-09-18",1034.1
"2023-09-19",1034.1
"2023-09-20",1034.1
"2023-09-21",1034.1
"2023-09-22",1034.1
"2023-09-23",1034.1
"2023-09-24",1034.1
"2023-09-25",1034.1
"2023-09-26",1034.1
"2023-09-27",1034.1
"2023-09-28",1034.1
"2023-09-29",1034.1
"2023-09-30",1034.1
"2023-10-01",1039.99
"2023-10-02",1039.99
"2023-10-03",1039.99
"2023-10-04",1039.99
"2023-10-05",1039.99
"2023-10-06",1039.99
"2023-10-07",1039.99
"2023-10-08",1039.87
"2023-10-09",1039.99
"2023-10-10",1039.99
"2023-10-11",1039.99
